type,description,featureCount,createdAt,createdBy,updatedAt,updatedBy,keyname,id,approvedAt,approvedBy,area,boundary,loadedAt,start,end,info,url
holding,WibbleWobble,3,2019-12-16T11:45:28.764Z,david.stone1@environment-agency.gov.uk,2020-02-27T14:26:10.078Z,David.Stone1@environment-agency.gov.uk,necag0ufqmt.json,necag0ufqmt,2019-12-16T11:49:24.194Z,david.stone1@environment-agency.gov.uk,Hertfordshire and North London (HNL),Wessex (WSX),2020-02-27T14:00:00.822Z,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/necag0ufqmt
holding,Wibble,3,2019-12-16T11:45:28.764Z,david.stone1@environment-agency.gov.uk,2020-02-27T14:26:10.078Z,David.Stone1@environment-agency.gov.uk,necag0ufqmt.json,necag0ufqmt,2019-12-16T11:49:24.194Z,david.stone1@environment-agency.gov.uk,Hertfordshire and North London (HNL),Wessex (WSX),2020-02-27T14:00:00.822Z,2019-09-01,2020-06-30,The Pulteney weir is being decmmissioned in this area and the flood risk will be udated in June 2020,http://localhost:3000/comment/view/necag0ufqmt
holding,Wibble,3,2019-12-16T11:45:28.764Z,david.stone1@environment-agency.gov.uk,2020-02-27T14:26:10.078Z,David.Stone1@environment-agency.gov.uk,necag0ufqmt.json,necag0ufqmt,2019-12-16T11:49:24.194Z,david.stone1@environment-agency.gov.uk,Hertfordshire and North London (HNL),Wessex (WSX),2020-02-27T14:00:00.822Z,2019-09-01,2019-10-15,The repair to the Bathampton Meadows culvert and flood storage area is underway and will be completed by October 2019,http://localhost:3000/comment/view/necag0ufqmt
llfa,Functionality 2,3,2019-12-16T11:47:23.983Z,david.stone1@environment-agency.gov.uk,2020-02-26T16:00:20.419Z,David.Stone1@environment-agency.gov.uk,0ysfyqu7afo.json,0ysfyqu7afo,,,Bath and North East Somerset,,,2019-09-01,2020-03-30,Flood report,http://localhost:3000/comment/view/0ysfyqu7afo
llfa,Functionality 2,3,2019-12-16T11:47:23.983Z,david.stone1@environment-agency.gov.uk,2020-02-26T16:00:20.419Z,David.Stone1@environment-agency.gov.uk,0ysfyqu7afo.json,0ysfyqu7afo,,,Bath and North East Somerset,,,2019-09-01,2020-06-30,Non compliant mapping,http://localhost:3000/comment/view/0ysfyqu7afo
llfa,Functionality 2,3,2019-12-16T11:47:23.983Z,david.stone1@environment-agency.gov.uk,2020-02-26T16:00:20.419Z,David.Stone1@environment-agency.gov.uk,0ysfyqu7afo.json,0ysfyqu7afo,,,Bath and North East Somerset,,,2019-09-01,2019-10-15,Completed schemes,http://localhost:3000/comment/view/0ysfyqu7afo
llfa,sad_af,1,2019-12-16T15:14:35.314Z,david.stone1@environment-agency.gov.uk,2020-02-26T16:00:39.264Z,David.Stone1@environment-agency.gov.uk,eep9b0u065.json,eep9b0u065,2019-12-16T15:15:18.575Z,david.stone1@environment-agency.gov.uk,Blackpool,,2020-02-27T14:00:01.252Z,2019-09-01,2020-03-30,Other info,http://localhost:3000/comment/view/eep9b0u065
holding,Functionality 2,2,2020-01-28T20:07:50.005Z,David.Stone1@environment-agency.gov.uk,2020-01-28T20:07:50.005Z,David.Stone1@environment-agency.gov.uk,2gkzztzgl0r.json,2gkzztzgl0r,2020-01-28T20:10:45.521Z,David.Stone1@environment-agency.gov.uk,,,2020-02-27T14:00:01.598Z,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/2gkzztzgl0r
holding,Functionality 2,2,2020-01-28T20:07:50.005Z,David.Stone1@environment-agency.gov.uk,2020-01-28T20:07:50.005Z,David.Stone1@environment-agency.gov.uk,2gkzztzgl0r.json,2gkzztzgl0r,2020-01-28T20:10:45.521Z,David.Stone1@environment-agency.gov.uk,,,2020-02-27T14:00:01.598Z,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/2gkzztzgl0r
holding,Functionality 2,2,2020-02-26T14:05:49.911Z,David.Stone1@environment-agency.gov.uk,2020-02-26T14:05:49.911Z,David.Stone1@environment-agency.gov.uk,nnxcp6rzol.json,nnxcp6rzol,,,,,,2019-09-01,2020-03-30,"There are improvements to the flood defences in this area, we expect the flood liklihood in this area to change on 1 April 2020",http://localhost:3000/comment/view/nnxcp6rzol
